000001,Australia and Oceania       ,Office Supplies,Online ,H,20160306,517073523,0303126.25
000002,Europe                      ,Beverages      ,Online ,L,20100418,380507028,0146264.41
000003,North America               ,Cereal         ,Online ,M,20150108,504055583,0009124.77
000004,Europe                      ,Snacks         ,Online ,C,20140119,954955518,0077967.96
000005,Middle East and North Africa,Cereal         ,Offline,H,20190426,970755660,0622521.94
000006,Sub-Saharan Africa          ,Office Supplies,Online ,C,20120303,309317338,0344536.25
000007,Europe                      ,Personal Care  ,Online ,H,20121124,598814380,0033505.22
000008,Middle East and North Africa,Cosmetics      ,Offline,M,20110318,387733113,1338625.13
000009,Sub-Saharan Africa          ,Clothes        ,Offline,C,20140510,994872367,0271434.25
000010,North America               ,Personal Care  ,Online ,C,20200525,659343469,0081169.34
000011,Europe                      ,Cosmetics      ,Online ,M,20121112,390570247,1264034.88
000012,Sub-Saharan Africa          ,Clothes        ,Offline,C,20190725,818289029,0643554.75
000013,Europe                      ,Personal Care  ,Offline,H,20101225,842548644,0193513.31
000014,Europe                      ,Personal Care  ,Offline,L,20120803,783710420,0154971.05
000015,Asia                        ,Cereal         ,Offline,L,20131203,132448184,0284905.44
000016,Sub-Saharan Africa          ,Snacks         ,Online ,M,20160922,699748265,0546823.38
000017,Asia                        ,Snacks         ,Offline,H,20181122,766909492,0243498.23
000018,Sub-Saharan Africa          ,Clothes        ,Online ,C,20191027,935543191,0504900.00
000019,Europe                      ,Meat           ,Online ,M,20150125,977573192,0256599.20
000020,Europe                      ,Personal Care  ,Offline,H,20120521,285235822,0162213.38
000021,Europe                      ,Clothes        ,Online ,H,20150910,121079909,0667643.06
000022,Asia                        ,Fruits         ,Online ,L,20190914,467966783,0001506.25
000023,Middle East and North Africa,Household      ,Online ,C,20150418,479070270,1059677.63
000024,Asia                        ,Vegetables     ,Offline,H,20160328,727876698,0236421.84
000025,Sub-Saharan Africa          ,Office Supplies,Online ,L,20110128,958184897,0891198.75
000026,Europe                      ,Fruits         ,Offline,H,20110326,534106194,0006620.27
000027,Sub-Saharan Africa          ,Snacks         ,Online ,M,20130808,690064418,0234400.14
000028,Middle East and North Africa,Cosmetics      ,Offline,M,20160801,480795896,1224914.13
000029,Central America and the Cari,Fruits         ,Offline,H,20140924,831349456,0008755.53
000030,Central America and the Cari,Baby Food      ,Online ,M,20141017,487086427,0819890.56
000031,Europe                      ,Cosmetics      ,Offline,L,20190907,963680636,0585941.88
000032,Middle East and North Africa,Vegetables     ,Online ,L,20120602,697118413,0106374.05
000033,Middle East and North Africa,Office Supplies,Offline,M,20141218,893698585,0520907.50
000034,Sub-Saharan Africa          ,Household      ,Offline,M,20180911,580032479,0556024.13
000035,Sub-Saharan Africa          ,Snacks         ,Online ,L,20110222,653043925,0499788.97
000036,Europe                      ,Cosmetics      ,Online ,H,20130609,729969251,0517784.88
000037,Asia                        ,Baby Food      ,Online ,L,20101009,498357284,0369061.00
000038,Europe                      ,Personal Care  ,Offline,H,20110327,166069352,0061823.02
000039,Sub-Saharan Africa          ,Cosmetics      ,Online ,C,20190126,911279284,1155540.00
000040,Europe                      ,Clothes        ,Online ,H,20180821,832473409,0457971.84
000041,Sub-Saharan Africa          ,Office Supplies,Online ,C,20111106,798450553,1024771.25
000042,Asia                        ,Beverages      ,Offline,L,20121019,398322045,0018792.00
000043,Europe                      ,Office Supplies,Online ,L,20100515,191511714,0180158.75
000044,Europe                      ,Vegetables     ,Online ,M,20160426,357755887,0427516.38
000045,Europe                      ,Household      ,Online ,C,20170308,247103393,0371235.19
000046,Australia and Oceania       ,Beverages      ,Online ,C,20110911,629915559,0076217.22
000047,Sub-Saharan Africa          ,Personal Care  ,Online ,L,20160216,546866214,0218523.20
000048,Asia                        ,Fruits         ,Offline,C,20160305,458941686,0023854.18
000049,Europe                      ,Cosmetics      ,Online ,C,20150202,897440803,0266194.97
000050,Central America and the Cari,Household      ,Online ,H,20170811,213974893,1455275.13
000051,Europe                      ,Cosmetics      ,Offline,L,20131212,430467784,0667313.06
000052,Europe                      ,Meat           ,Online ,C,20170316,489155805,0053081.60
000053,Europe                      ,Cereal         ,Offline,C,20150402,302587783,0115521.36
000054,Middle East and North Africa,Personal Care  ,Online ,M,20181106,303625047,0206820.19
000055,Europe                      ,Cosmetics      ,Online ,L,20130712,995441424,0363909.91
000056,Middle East and North Africa,Meat           ,Offline,H,20180528,701523244,0295838.41
