Australia and Oceania,Office Supplies,Online,H,20160306,517073523,303126.25
Europe,Beverages,Online,L,20100418,380507028,146264.40
North America,Cereal,Online,M,20150108,504055583,9124.77
Europe,Snacks,Online,C,20140119,954955518,77967.96
Middle East and North Africa,Cereal,Offline,H,20190426,970755660,622521.93
Sub-Saharan Africa,Office Supplies,Online,C,20120303,309317338,344536.25
Europe,Personal Care,Online,H,20121124,598814380,33505.22
Middle East and North Africa,Cosmetics,Offline,M,20110318,387733113,1338625.13
Sub-Saharan Africa,Clothes,Offline,C,20140510,994872367,271434.24
North America,Personal Care,Online,C,20200525,659343469,81169.34
Europe,Cosmetics,Online,M,20121112,390570247,1264034.90
Sub-Saharan Africa,Clothes,Offline,C,20190725,818289029,643554.72
Europe,Personal Care,Offline,H,20101225,842548644,193513.32
Europe,Personal Care,Offline,L,20120803,783710420,154971.04
Asia,Cereal,Offline,L,20131203,132448184,284905.44
Sub-Saharan Africa,Snacks,Online,M,20160922,699748265,546823.38
Asia,Snacks,Offline,H,20181122,766909492,243498.24
Sub-Saharan Africa,Clothes,Online,C,20191027,935543191,504900.00
Europe,Meat,Online,M,20150125,977573192,256599.20
Europe,Personal Care,Offline,H,20120521,285235822,162213.38
Europe,Clothes,Online,H,20150910,121079909,667643.04
Asia,Fruits,Online,L,20190914,467966783,1506.25
Middle East and North Africa,Household,Online,C,20150418,479070270,1059677.62
Asia,Vegetables,Offline,H,20160328,727876698,236421.85
Sub-Saharan Africa,Office Supplies,Online,L,20110128,958184897,891198.75
Europe,Fruits,Offline,H,20110326,534106194,6620.27
Sub-Saharan Africa,Snacks,Online,M,20130808,690064418,234400.14
Middle East and North Africa,Cosmetics,Offline,M,20160801,480795896,1224914.15
Central America and the Cari,Fruits,Offline,H,20140924,831349456,8755.53
Central America and the Cari,Baby Food,Online,M,20141017,487086427,819890.58
Europe,Cosmetics,Offline,L,20190907,963680636,585941.90
Middle East and North Africa,Vegetables,Online,L,20120602,697118413,106374.05
Middle East and North Africa,Office Supplies,Offline,M,20141218,893698585,520907.50
Sub-Saharan Africa,Household,Offline,M,20180911,580032479,556024.15
Sub-Saharan Africa,Snacks,Online,L,20110222,653043925,499788.96
Europe,Cosmetics,Online,H,20130609,729969251,517784.86
Asia,Baby Food,Online,L,20101009,498357284,369061.00
Europe,Personal Care,Offline,H,20110327,166069352,61823.02
Sub-Saharan Africa,Cosmetics,Online,C,20190126,911279284,1155540.02
Europe,Clothes,Online,H,20180821,832473409,457971.84
Sub-Saharan Africa,Office Supplies,Online,C,20111106,798450553,1024771.25
Asia,Beverages,Offline,L,20121019,398322045,18792.00
Europe,Office Supplies,Online,L,20100515,191511714,180158.75
Europe,Vegetables,Online,M,20160426,357755887,427516.36
Europe,Household,Online,C,20170308,247103393,371235.20
Australia and Oceania,Beverages,Online,C,20110911,629915559,76217.22
Sub-Saharan Africa,Personal Care,Online,L,20160216,546866214,218523.20
Asia,Fruits,Offline,C,20160305,458941686,23854.18
Europe,Cosmetics,Online,C,20150202,897440803,266194.97
Central America and the Cari,Household,Online,H,20170811,213974893,1455275.13
Europe,Cosmetics,Offline,L,20131212,430467784,667313.06
Europe,Meat,Online,C,20170316,489155805,53081.60
Europe,Cereal,Offline,C,20150402,302587783,115521.36
Middle East and North Africa,Personal Care,Online,M,20181106,303625047,206820.18
Europe,Cosmetics,Online,L,20130712,995441424,363909.91
Middle East and North Africa,Meat,Offline,H,20180528,701523244,295838.40
Sub-Saharan Africa,Meat,Offline,H,20160902,515669333,392964.00
Europe,Clothes,Online,M,20140530,251991021,631437.12
Europe,Beverages,Offline,L,20131111,694912135,137776.68
Sub-Saharan Africa,Office Supplies,Offline,C,20181009,449169003,1003056.25
